{'alpha': 0.001} --------> F1 = 0.8431000000000001
{'alpha': 0.002} --------> F1 = 0.8431000000000001
{'alpha': 0.003} --------> F1 = 0.8432
{'alpha': 0.004} --------> F1 = 0.8431000000000001
{'alpha': 0.005} --------> F1 = 0.8431000000000001
{'alpha': 0.006} --------> F1 = 0.8432
{'alpha': 0.007} --------> F1 = 0.8432
{'alpha': 0.008} --------> F1 = 0.8431000000000001
{'alpha': 0.009} --------> F1 = 0.8431000000000001
{'alpha': 0.01} --------> F1 = 0.8431000000000001
{'alpha': 0.02} --------> F1 = 0.8434
{'alpha': 0.05} --------> F1 = 0.8433
{'alpha': 0.1} --------> F1 = 0.843
Best params: {'alpha': 0.02}
 Best F1 Score = 0.8434
####################################################################################################
{'criterion': 'gini', 'max_depth': 8, 'max_features': None, 'min_samples_leaf': 0.2, 'min_samples_split': 2} --------> F1 = 0.6393
{'criterion': 'gini', 'max_depth': 9, 'max_features': None, 'min_samples_leaf': 0.2, 'min_samples_split': 10} --------> F1 = 0.6393
{'criterion': 'gini', 'max_depth': 9, 'max_features': None, 'min_samples_leaf': 0.2, 'min_samples_split': 20} --------> F1 = 0.6393
{'criterion': 'gini', 'max_depth': 9, 'max_features': None, 'min_samples_leaf': 0.49, 'min_samples_split': 2} --------> F1 = 0.5664
{'criterion': 'gini', 'max_depth': 9, 'max_features': None, 'min_samples_leaf': 0.49, 'min_samples_split': 3} --------> F1 = 0.5664
{'criterion': 'gini', 'max_depth': 9, 'max_features': None, 'min_samples_leaf': 0.49, 'min_samples_split': 5} --------> F1 = 0.5664
{'criterion': 'gini', 'max_depth': 9, 'max_features': None, 'min_samples_leaf': 0.49, 'min_samples_split': 10} --------> F1 = 0.5664
{'criterion': 'gini', 'max_depth': 9, 'max_features': None, 'min_samples_leaf': 0.49, 'min_samples_split': 20} --------> F1 = 0.5664
{'criterion': 'gini', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_leaf': 0.2, 'min_samples_split': 2} --------> F1 = 0.5325
{'criterion': 'gini', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_leaf': 0.2, 'min_samples_split': 3} --------> F1 = 0.5009
{'criterion': 'gini', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_leaf': 0.2, 'min_samples_split': 5} --------> F1 = 0.5575
{'criterion': 'gini', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_leaf': 0.2, 'min_samples_split': 10} --------> F1 = 0.5442
{'criterion': 'gini', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_leaf': 0.2, 'min_samples_split': 20} --------> F1 = 0.5425
{'criterion': 'gini', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_leaf': 0.49, 'min_samples_split': 2} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_leaf': 0.49, 'min_samples_split': 3} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_leaf': 0.49, 'min_samples_split': 5} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_leaf': 0.49, 'min_samples_split': 10} --------> F1 = 0.5022
{'criterion': 'gini', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_leaf': 0.49, 'min_samples_split': 20} --------> F1 = 0.5278
{'criterion': 'gini', 'max_depth': 9, 'max_features': 'log2', 'min_samples_leaf': 0.2, 'min_samples_split': 2} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 9, 'max_features': 'log2', 'min_samples_leaf': 0.2, 'min_samples_split': 3} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 9, 'max_features': 'log2', 'min_samples_leaf': 0.2, 'min_samples_split': 5} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 9, 'max_features': 'log2', 'min_samples_leaf': 0.2, 'min_samples_split': 10} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 9, 'max_features': 'log2', 'min_samples_leaf': 0.2, 'min_samples_split': 20} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 9, 'max_features': 'log2', 'min_samples_leaf': 0.49, 'min_samples_split': 2} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 9, 'max_features': 'log2', 'min_samples_leaf': 0.49, 'min_samples_split': 3} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 9, 'max_features': 'log2', 'min_samples_leaf': 0.49, 'min_samples_split': 5} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 9, 'max_features': 'log2', 'min_samples_leaf': 0.49, 'min_samples_split': 10} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 9, 'max_features': 'log2', 'min_samples_leaf': 0.49, 'min_samples_split': 20} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 0.2, 'min_samples_split': 2} --------> F1 = 0.6393
{'criterion': 'gini', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 0.2, 'min_samples_split': 3} --------> F1 = 0.6393
{'criterion': 'gini', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 0.2, 'min_samples_split': 5} --------> F1 = 0.6393
{'criterion': 'gini', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 0.2, 'min_samples_split': 10} --------> F1 = 0.6393
{'criterion': 'gini', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 0.2, 'min_samples_split': 20} --------> F1 = 0.6393
{'criterion': 'gini', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 0.49, 'min_samples_split': 2} --------> F1 = 0.5664
{'criterion': 'gini', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 0.49, 'min_samples_split': 3} --------> F1 = 0.5664
{'criterion': 'gini', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 0.49, 'min_samples_split': 5} --------> F1 = 0.5664
{'criterion': 'gini', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 0.49, 'min_samples_split': 10} --------> F1 = 0.5664
{'criterion': 'gini', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 0.49, 'min_samples_split': 20} --------> F1 = 0.5664
{'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 0.2, 'min_samples_split': 2} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 0.2, 'min_samples_split': 3} --------> F1 = 0.5341
{'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 0.2, 'min_samples_split': 5} --------> F1 = 0.5264
{'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 0.2, 'min_samples_split': 10} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 0.2, 'min_samples_split': 20} --------> F1 = 0.5374
{'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 0.49, 'min_samples_split': 2} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 0.49, 'min_samples_split': 3} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 0.49, 'min_samples_split': 5} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 0.49, 'min_samples_split': 10} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 0.49, 'min_samples_split': 20} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 0.2, 'min_samples_split': 2} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 0.2, 'min_samples_split': 3} --------> F1 = 0.5011
{'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 0.2, 'min_samples_split': 5} --------> F1 = 0.5111
{'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 0.2, 'min_samples_split': 10} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 0.2, 'min_samples_split': 20} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 0.49, 'min_samples_split': 2} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 0.49, 'min_samples_split': 3} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 0.49, 'min_samples_split': 5} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 0.49, 'min_samples_split': 10} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 0.49, 'min_samples_split': 20} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 15, 'max_features': None, 'min_samples_leaf': 0.2, 'min_samples_split': 2} --------> F1 = 0.6393
{'criterion': 'gini', 'max_depth': 15, 'max_features': None, 'min_samples_leaf': 0.2, 'min_samples_split': 3} --------> F1 = 0.6393
{'criterion': 'gini', 'max_depth': 15, 'max_features': None, 'min_samples_leaf': 0.2, 'min_samples_split': 5} --------> F1 = 0.6393
{'criterion': 'gini', 'max_depth': 15, 'max_features': None, 'min_samples_leaf': 0.2, 'min_samples_split': 10} --------> F1 = 0.6393
{'criterion': 'gini', 'max_depth': 15, 'max_features': None, 'min_samples_leaf': 0.2, 'min_samples_split': 20} --------> F1 = 0.6393
{'criterion': 'gini', 'max_depth': 15, 'max_features': None, 'min_samples_leaf': 0.49, 'min_samples_split': 2} --------> F1 = 0.5664
{'criterion': 'gini', 'max_depth': 15, 'max_features': None, 'min_samples_leaf': 0.49, 'min_samples_split': 3} --------> F1 = 0.5664
{'criterion': 'gini', 'max_depth': 15, 'max_features': None, 'min_samples_leaf': 0.49, 'min_samples_split': 5} --------> F1 = 0.5664
{'criterion': 'gini', 'max_depth': 15, 'max_features': None, 'min_samples_leaf': 0.49, 'min_samples_split': 10} --------> F1 = 0.5664
{'criterion': 'gini', 'max_depth': 15, 'max_features': None, 'min_samples_leaf': 0.49, 'min_samples_split': 20} --------> F1 = 0.5664
{'criterion': 'gini', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 0.2, 'min_samples_split': 2} --------> F1 = 0.5355
{'criterion': 'gini', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 0.2, 'min_samples_split': 3} --------> F1 = 0.5101
{'criterion': 'gini', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 0.2, 'min_samples_split': 5} --------> F1 = 0.5179
{'criterion': 'gini', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 0.2, 'min_samples_split': 10} --------> F1 = 0.552
{'criterion': 'gini', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 0.2, 'min_samples_split': 20} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 0.49, 'min_samples_split': 2} --------> F1 = 0.531
{'criterion': 'gini', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 0.49, 'min_samples_split': 3} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 0.49, 'min_samples_split': 5} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 0.49, 'min_samples_split': 10} --------> F1 = 0.5297
{'criterion': 'gini', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 0.49, 'min_samples_split': 20} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 0.2, 'min_samples_split': 2} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 0.2, 'min_samples_split': 3} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 0.2, 'min_samples_split': 5} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 0.2, 'min_samples_split': 10} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 0.2, 'min_samples_split': 20} --------> F1 = 0.5475
{'criterion': 'gini', 'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 0.49, 'min_samples_split': 2} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 0.49, 'min_samples_split': 3} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 0.49, 'min_samples_split': 5} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 0.49, 'min_samples_split': 10} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 0.49, 'min_samples_split': 20} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 20, 'max_features': None, 'min_samples_leaf': 0.2, 'min_samples_split': 2} --------> F1 = 0.6393
{'criterion': 'gini', 'max_depth': 20, 'max_features': None, 'min_samples_leaf': 0.2, 'min_samples_split': 3} --------> F1 = 0.6393
{'criterion': 'gini', 'max_depth': 20, 'max_features': None, 'min_samples_leaf': 0.2, 'min_samples_split': 5} --------> F1 = 0.6393
{'criterion': 'gini', 'max_depth': 20, 'max_features': None, 'min_samples_leaf': 0.2, 'min_samples_split': 10} --------> F1 = 0.6393
{'criterion': 'gini', 'max_depth': 20, 'max_features': None, 'min_samples_leaf': 0.2, 'min_samples_split': 20} --------> F1 = 0.6393
{'criterion': 'gini', 'max_depth': 20, 'max_features': None, 'min_samples_leaf': 0.49, 'min_samples_split': 2} --------> F1 = 0.5664
{'criterion': 'gini', 'max_depth': 20, 'max_features': None, 'min_samples_leaf': 0.49, 'min_samples_split': 3} --------> F1 = 0.5664
{'criterion': 'gini', 'max_depth': 20, 'max_features': None, 'min_samples_leaf': 0.49, 'min_samples_split': 5} --------> F1 = 0.5664
{'criterion': 'gini', 'max_depth': 20, 'max_features': None, 'min_samples_leaf': 0.49, 'min_samples_split': 10} --------> F1 = 0.5664
{'criterion': 'gini', 'max_depth': 20, 'max_features': None, 'min_samples_leaf': 0.49, 'min_samples_split': 20} --------> F1 = 0.5664
{'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 0.2, 'min_samples_split': 2} --------> F1 = 0.5193
{'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 0.2, 'min_samples_split': 3} --------> F1 = 0.5455
{'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 0.2, 'min_samples_split': 5} --------> F1 = 0.536
{'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 0.2, 'min_samples_split': 10} --------> F1 = 0.5507
{'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 0.2, 'min_samples_split': 20} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 0.49, 'min_samples_split': 2} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 0.49, 'min_samples_split': 3} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 0.49, 'min_samples_split': 5} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 0.49, 'min_samples_split': 10} --------> F1 = 0.5348
{'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 0.49, 'min_samples_split': 20} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 0.2, 'min_samples_split': 2} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 0.2, 'min_samples_split': 3} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 0.2, 'min_samples_split': 5} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 0.2, 'min_samples_split': 10} --------> F1 = 0.5121
{'criterion': 'gini', 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 0.2, 'min_samples_split': 20} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 0.49, 'min_samples_split': 2} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 0.49, 'min_samples_split': 3} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 0.49, 'min_samples_split': 5} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 0.49, 'min_samples_split': 10} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 0.49, 'min_samples_split': 20} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 30, 'max_features': None, 'min_samples_leaf': 0.2, 'min_samples_split': 2} --------> F1 = 0.6393
{'criterion': 'gini', 'max_depth': 30, 'max_features': None, 'min_samples_leaf': 0.2, 'min_samples_split': 3} --------> F1 = 0.6393
{'criterion': 'gini', 'max_depth': 30, 'max_features': None, 'min_samples_leaf': 0.2, 'min_samples_split': 5} --------> F1 = 0.6393
{'criterion': 'gini', 'max_depth': 30, 'max_features': None, 'min_samples_leaf': 0.2, 'min_samples_split': 10} --------> F1 = 0.6393
{'criterion': 'gini', 'max_depth': 30, 'max_features': None, 'min_samples_leaf': 0.2, 'min_samples_split': 20} --------> F1 = 0.6393
{'criterion': 'gini', 'max_depth': 30, 'max_features': None, 'min_samples_leaf': 0.49, 'min_samples_split': 2} --------> F1 = 0.5664
{'criterion': 'gini', 'max_depth': 30, 'max_features': None, 'min_samples_leaf': 0.49, 'min_samples_split': 3} --------> F1 = 0.5664
{'criterion': 'gini', 'max_depth': 30, 'max_features': None, 'min_samples_leaf': 0.49, 'min_samples_split': 5} --------> F1 = 0.5664
{'criterion': 'gini', 'max_depth': 30, 'max_features': None, 'min_samples_leaf': 0.49, 'min_samples_split': 10} --------> F1 = 0.5664
{'criterion': 'gini', 'max_depth': 30, 'max_features': None, 'min_samples_leaf': 0.49, 'min_samples_split': 20} --------> F1 = 0.5664
{'criterion': 'gini', 'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 0.2, 'min_samples_split': 2} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 0.2, 'min_samples_split': 3} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 0.2, 'min_samples_split': 5} --------> F1 = 0.5041
{'criterion': 'gini', 'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 0.2, 'min_samples_split': 10} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 0.2, 'min_samples_split': 20} --------> F1 = 0.517
{'criterion': 'gini', 'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 0.49, 'min_samples_split': 2} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 0.49, 'min_samples_split': 3} --------> F1 = 0.515
{'criterion': 'gini', 'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 0.49, 'min_samples_split': 5} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 0.49, 'min_samples_split': 10} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 0.49, 'min_samples_split': 20} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 30, 'max_features': 'log2', 'min_samples_leaf': 0.2, 'min_samples_split': 2} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 30, 'max_features': 'log2', 'min_samples_leaf': 0.2, 'min_samples_split': 3} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 30, 'max_features': 'log2', 'min_samples_leaf': 0.2, 'min_samples_split': 5} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 30, 'max_features': 'log2', 'min_samples_leaf': 0.2, 'min_samples_split': 10} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 30, 'max_features': 'log2', 'min_samples_leaf': 0.2, 'min_samples_split': 20} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 30, 'max_features': 'log2', 'min_samples_leaf': 0.49, 'min_samples_split': 2} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 30, 'max_features': 'log2', 'min_samples_leaf': 0.49, 'min_samples_split': 3} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 30, 'max_features': 'log2', 'min_samples_leaf': 0.49, 'min_samples_split': 5} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 30, 'max_features': 'log2', 'min_samples_leaf': 0.49, 'min_samples_split': 10} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 30, 'max_features': 'log2', 'min_samples_leaf': 0.49, 'min_samples_split': 20} --------> F1 = 0.5
{'criterion': 'gini', 'max_depth': 50, 'max_features': None, 'min_samples_leaf': 0.2, 'min_samples_split': 2} --------> F1 = 0.6393
{'criterion': 'gini', 'max_depth': 50, 'max_features': None, 'min_samples_leaf': 0.2, 'min_samples_split': 3} --------> F1 = 0.6393
